StnID,Lat,Lon,Elev,State/Province,Name,WMO_ID,Sample_Interval (min),UTC_Offset,POR_Date_Range,PCT_POR_Good,Last_Half_POR,PCT_Last_Half_Good,Last_Qtr_POR,PCT_Last_Qtr_Good
USC00120830,40.8143,-85.1546,262.4,IN,BLUFFTON 6N,,15,-5,19710701-20240202, 89.3%,19971016-20240202, 89.5%,20101209-20240202, 82.9%
USC00120922,39.5108,-87.1241,207.0,IN,BRAZIL,,15,-5,19480701-20240401, 93.8%,19860517-20240401, 95.6%,20050424-20240401, 94.5%
USC00121147,40.4835,-86.3961,233.2,IN,BURLINGTON,,15,-5,19501103-20240402, 94.8%,19870719-20240402, 93.9%,20051124-20240402, 95.3%
USC00121256,37.8994,-86.7072,122.5,IN,CANNELTON,,15,-5,19711001-20240401, 82.8%,19971231-20240401, 77.8%,20110215-20240401, 90.9%
USC00121417,40.6653,-86.9550,219.5,IN,CHALMERS 5 W,,15,-5,20080801-20240401, 92.1%,20160601-20240401, 91.1%,20200501-20240401, 99.9%
USC00121739,41.1452,-85.4898,254.2,IN,COLUMBIA CITY,,15,-5,19480701-20240401, 88.2%,19860517-20240401, 80.5%,20050424-20240401, 78.6%
USC00121752,39.2106,-85.8883,193.5,IN,COLUMBUS UTILITIES,,15,-5,19480701-20240401, 82.9%,19860517-20240401, 84.2%,20050424-20240401, 77.7%
USC00121873,40.0028,-86.8011,254.8,IN,CRAWFORDSVILLE 6 SE,,15,-5,19880201-20240402, 86.5%,20060303-20240402, 88.1%,20150318-20240402, 86.5%
USC00122309,38.4558,-86.6983,210.3,IN,DUBOIS SRN IN FORAGE FARM,,15,-5,19570101-20240401, 80.5%,19900817-20240401, 78.5%,20070609-20240401, 82.1%
USC00122620,38.8701,-87.0917,146.3,IN,ELNORA,,15,-5,20120420-20240401, 97.9%,20180411-20240401, 98.4%,20210406-20240401, 98.7%
USC00122825,40.2538,-85.1484,294.1,IN,FARMLAND 5 NNW,,15,-5,19490301-20240402, 90.9%,19860916-20240402, 93.4%,20050624-20240402, 97.2%
USC00123082,40.2986,-86.5066,251.2,IN,FRANKFORT DISPOSAL,,15,-5,19800601-20240402, 83.7%,20020502-20240402, 74.0%,20130417-20240402, 68.5%
USC00123091,39.4684,-86.0412,219.5,IN,FRANKLIN WWTP,,15,-5,20010801-20240402, 93.0%,20121201-20240402, 94.8%,20180802-20240402, 97.9%
USC00123104,38.8672,-87.3083,167.6,IN,FREELANDVILLE,,15,-5,19850404-20140204, 93.9%,19990904-20140204, 92.9%,20061119-20140204, 93.4%
USC00123206,41.3415,-85.1292,268.2,IN,GARRETT,,15,-5,19601205-20240401, 91.8%,19920803-20240401, 91.3%,20080602-20240401, 88.9%
USC00123418,41.5575,-85.8825,266.7,IN,GOSHEN 3SW,,15,-5,19611101-20240409, 93.1%,19930119-20240409, 96.2%,20080829-20240409, 99.3%
USC00123714,38.1975,-86.2686,259.1,IN,HARRISON-CRAWFORD S F,,15,-5,19740806-20240416, 83.2%,19990611-20240416, 81.1%,20111113-20240416, 89.3%
USC00123777,40.4355,-85.2891,281.6,IN,HARTFORD CITY 4 ESE,,15,-5,19480701-20240402, 88.5%,19860517-20240402, 82.8%,20050424-20240402, 95.2%
USC00124181,40.8560,-85.4988,222.8,IN,HUNTINGTON,,15,-5,19480701-20240402, 88.8%,19860517-20240402, 87.6%,20050424-20240402, 88.7%
USC00124286,39.7690,-86.1850,213.7,IN,INDIANAPOLIS ZOO,,15,-5,19910501-20240405, 87.1%,20071018-20240405, 83.7%,20160111-20240405, 99.5%
USC00124730,41.6474,-85.4121,274.3,IN,LAGRANGE,,15,-5,19620602-20151202, 81.1%,19890302-20151202, 72.0%,20020717-20151202, 53.7%
USC00124782,41.5269,-86.2692,256.3,IN,LAKEVILLE,,15,-5,19480701-20240401, 93.4%,19860517-20240401, 91.4%,20050424-20240401, 93.8%
USC00124837,41.6116,-86.7297,246.6,IN,LAPORTE,,15,-6,19780401-20240407, 81.7%,20010404-20240407, 79.9%,20121005-20240407, 91.3%
USC00124908,40.0516,-86.4750,282.9,IN,LEBANON WATER WORKS,,15,-5,19480701-20240405, 94.3%,19860519-20240405, 92.0%,20050427-20240405, 89.3%
USC00124973,39.8208,-85.3243,335.3,IN,LEWISVILLE,,15,-5,19480701-20240401, 96.0%,19860517-20240401, 96.8%,20050424-20240401, 98.6%
USC00125337,40.5800,-85.6586,240.8,IN,MARION 2 N,,15,-5,19530613-20240401, 92.5%,19881106-20240401, 89.2%,20060720-20240401, 86.6%
USC00125394,39.8438,-87.1875,215.8,IN,MARSHALL,,15,-5,20020101-20240401, 96.4%,20130215-20240401, 97.1%,20180908-20240401, 94.8%
USC00125407,39.4043,-86.4526,180.4,IN,MARTINSVILLE 2 SW,,15,-5,19620618-20240401, 83.6%,19930510-20240401, 81.3%,20081020-20240401, 74.5%
USC00125535,41.1588,-86.9013,211.8,IN,MEDARYVILLE 5 N,,15,-5,19480701-20171001, 86.4%,19830215-20171001, 82.5%,20000608-20171001, 84.0%
USC00126151,37.9325,-87.3744,115.8,IN,NEWBURGH LOCK & DAM,,15,-6,19611201-20240304, 84.9%,19930116-20240304, 83.8%,20080810-20240304, 95.0%
USC00126864,40.7646,-86.0740,201.2,IN,PERU,,15,-5,19480701-20240401, 85.4%,19860517-20240401, 80.8%,20050424-20240401, 78.7%
USC00127069,40.4667,-84.9667,-999.9,IN,PORTLAND WATER WORKS,,15,-5,19480701-20231010, 81.4%,19860219-20231010, 82.3%,20041214-20231010, 73.5%
USC00127298,40.9239,-87.1754,200.6,IN,RENSSELAER WWTP,,15,-6,19700605-20240405, 77.3%,19970505-20240405, 79.8%,20101020-20240405, 98.3%
USC00127482,41.0665,-86.2096,231.6,IN,ROCHESTER,,15,-5,19481013-20240401, 85.1%,19860708-20240401, 87.5%,20050520-20240401, 90.2%
USC00127930,38.9616,-85.8608,182.9,IN,SEYMOUR HIWAY GARAGE,,15,-5,19480701-20220411, 91.6%,19850521-20220411, 92.9%,20031031-20220411, 91.4%
USC00127935,38.9543,-85.9045,172.8,IN,SEYMOUR 1 WSW,,15,-5,20190927-20240108, 76.0%,20211117-20240108, 92.8%,20221213-20240108, 96.9%
USC00127999,39.5282,-85.7914,229.2,IN,SHELBYVILLE SEWAGE PLANT,,15,-5,19710101-20240401, 83.7%,19970816-20240401, 91.1%,20101208-20240401, 89.3%
USC00128036,38.5529,-86.7944,145.4,IN,SHOALS 8 S,,15,-5,19480701-20240404, 97.1%,19860518-20240404, 96.6%,20050426-20240404, 96.9%
USC00128442,38.2671,-87.1430,198.1,IN,STENDAL,,15,-5,19951101-20201103, 67.1%,20080503-20201103, 91.2%,20140803-20201103, 98.8%
USC00128784,40.2233,-86.1086,271.3,IN,TIPTON 5 SW,,15,-5,19830501-20240401, 93.8%,20031016-20240401, 94.3%,20140107-20240401, 94.9%
USC00128967,37.7952,-87.9930,103.6,IN,J.T. MYERS LOCKS & DAM,,15,-6,19740911-20240304, 78.7%,19990608-20240304, 80.3%,20111021-20240304, 96.2%
USC00128992,41.5436,-87.0319,264.9,IN,VALPARAISO 5NNE,,15,-6,20051203-20140501, 84.1%,20100215-20140501, 99.9%,20120324-20140501, 99.9%
USC00129174,39.4538,-85.6963,251.8,IN,WALDRON 2 W,,15,-5,19501205-20240405, 90.6%,19870805-20240405, 90.3%,20051204-20240405, 91.6%
USC00129430,40.4750,-86.9919,215.8,IN,WEST LAFAYETTE 6 NW,,15,-5,19530808-20240404, 93.5%,19881205-20240404, 93.1%,20060805-20240404, 97.8%
USC00129724,41.1645,-84.8482,216.4,IN,WOODBURN 3N,,15,-5,20090112-20211105, 91.9%,20150610-20211105, 93.4%,20180823-20211105, 86.8%
USC00130149,40.7039,-93.3703,332.2,IA,ALLERTON,,15,-6,19480801-20240404, 34.1%,19860603-20240404, 61.7%,20050504-20240404, 93.2%
USC00130200,42.0210,-93.7743,338.3,IA,AMES 8 WSW,,15,-6,19640906-20240401, 94.3%,19940619-20240401, 93.0%,20090510-20240401, 98.0%
USC00130364,41.4175,-95.0041,351.1,IA,ATLANTIC 1 NE,,15,-6,19510108-20240401, 88.4%,19870820-20240401, 87.9%,20051210-20240401, 96.5%
USC00130536,40.8570,-94.0494,349.9,IA,BEACONSFIELD 3N,,15,-6,19690709-20220301, 89.4%,19951104-20220301, 88.9%,20090101-20220301, 93.4%
USC00130608,42.2611,-90.4231,183.8,IA,BELLEVUE L AND D 12,,15,-6,19480811-20240401, 93.0%,19860606-20240401, 89.1%,20050504-20240401, 98.4%
USC00130853,42.1255,-95.1886,453.2,IA,BOYER 4 SE,,15,-6,19501001-20240401, 91.0%,19870702-20240401, 90.4%,20051115-20240401, 94.1%
USC00131060,40.7747,-91.1165,210.3,IA,BURLINGTON 2S,,15,-6,19641216-20240406, 82.7%,19940811-20240406, 78.7%,20090608-20240406, 84.4%
USC00131126,43.1876,-91.8620,376.4,IA,CALMAR NE,,15,-6,20090203-20240403, 97.4%,20160903-20240403, 99.2%,20200618-20240403, 99.9%
USC00131245,41.2738,-95.4025,332.2,IA,CARSON 3NNE,,15,-6,19501001-20240304, 95.6%,19870618-20240304, 93.4%,20051025-20240304, 93.9%
USC00131257,42.2979,-91.0116,248.1,IA,CASCADE,,15,-6,19480801-20240404, 95.1%,19860603-20240404, 92.8%,20050504-20240404, 97.9%
USC00131354,40.6833,-92.9000,310.9,IA,CENTERVILLE 4 SSW,,15,-6,19480801-20240403, 90.4%,19860602-20240403, 91.2%,20050503-20240403, 91.6%
USC00131363,42.2001,-91.5233,252.4,IA,CENTRAL CITY,,15,-6,19551217-20240401, 87.4%,19900207-20240401, 86.2%,20070306-20240401, 99.2%
USC00131442,42.7833,-95.5500,381.0,IA,CHEROKEE 3 N,,15,-6,19480801-20240403, 37.9%,19860602-20240403, 61.0%,20050503-20240403, 99.3%
USC00132041,42.7255,-94.1952,338.3,IA,DAKOTA CITY,,15,-6,20091102-20230105, 90.3%,20160604-20230105, 99.9%,20190920-20230105, 99.9%
USC00132240,41.5077,-94.2269,339.9,IA,DEXTER,,15,-6,19480801-20230801, 82.9%,19860130-20230801, 77.1%,20041030-20230801, 94.0%
USC00132977,43.2844,-93.6305,390.1,IA,FOREST CITY 2 NNE,,15,-6,19480801-20240402, 78.1%,19860602-20240402, 82.3%,20050502-20240402, 80.7%
USC00133473,41.7196,-92.7502,278.9,IA,GRINNELL 3 SW,,15,-6,19480801-20240401, 85.4%,19860601-20240401, 84.3%,20050501-20240401, 81.9%
USC00133944,42.1558,-96.0830,326.1,IA,HORNICK 5S,,15,-6,19480801-20180424, 85.0%,19830613-20180424, 91.2%,20001117-20180424, 93.5%
USC00134101,41.6093,-91.5051,195.1,IA,IOWA CITY,,15,-6,19790901-20240403, 89.1%,20011217-20240403, 91.5%,20130208-20240403, 99.7%
USC00134142,42.5188,-93.2536,321.6,IA,IOWA FALLS,,15,-6,19480801-20230407, 92.9%,19851203-20230407, 92.6%,20040804-20230407, 95.9%
USC00134174,41.7750,-95.1525,419.7,IA,IRWIN 3 ESE,,15,-6,19501001-20240305, 95.7%,19870618-20240305, 93.3%,20051026-20240305, 94.9%
USC00134381,40.3968,-91.3749,160.6,IA,KEOKUK LOCK DAM 19,,15,-6,19480801-20240401, 92.6%,19860601-20240401, 89.8%,20050501-20240401, 98.3%
USC00134502,41.3247,-93.1008,272.8,IA,KNOXVILLE,,15,-6,19480801-20230320, 83.9%,19851124-20230320, 82.8%,20040722-20230320, 86.7%
USC00134585,40.6233,-93.9343,343.8,IA,LAMONI,,15,-6,19480801-20230901, 68.1%,19860215-20230901, 84.8%,20041123-20230901, 97.5%
USC00134746,40.8747,-94.5717,383.1,IA,LENOX,,15,-6,19480801-20240408, 91.3%,19860605-20240408, 93.3%,20050507-20240408, 94.7%
USC00134963,41.8604,-90.9222,224.9,IA,LOWDEN,,15,-6,19870625-20240401, 95.6%,20051112-20240401, 95.2%,20150121-20240401, 99.9%
USC00135198,42.0647,-92.9244,265.2,IA,MARSHALLTOWN,,15,-6,19480801-20240402, 93.0%,19860602-20240402, 89.0%,20050502-20240402, 96.0%
USC00135315,43.0240,-91.1746,191.1,IA,MCGREGOR,,15,-6,19511005-20240401, 95.2%,19880102-20240401, 96.3%,20060215-20240401, 98.7%
USC00135584,41.5500,-95.9333,307.8,IA,MISSOURI VALLEY 2 WSW,,15,-6,19480801-20240305, 87.3%,19860519-20240305, 85.3%,20050411-20240305, 95.9%
USC00135769,40.7052,-94.2427,347.5,IA,MOUNT AYR,,15,-6,19480801-20240401, 86.9%,19860601-20240401, 85.0%,20050501-20240401, 92.2%
USC00135796,40.9601,-91.5851,220.7,IA,MOUNT PLEASANT 1 SW,,15,-6,19480801-20240401, 85.6%,19860601-20240401, 75.2%,20050501-20240401, 63.1%
USC00135823,42.4916,-96.0688,365.8,IA,MOVILLE,,15,-6,19480801-20240401, 90.0%,19860601-20240401, 89.3%,20050501-20240401, 90.8%
USC00136076,41.5170,-92.0597,242.9,IA,NORTH ENGLISH,,15,-6,19480801-20240403, 84.6%,19860602-20240403, 80.8%,20050503-20240403, 96.2%
USC00136190,43.4144,-95.5313,381.0,IA,OCHEYEDAN,,15,-6,20051201-20130901, 96.0%,20091016-20130901, 95.8%,20110924-20130901, 95.3%
USC00136975,42.8170,-95.9708,403.9,IA,REMSEN,,15,-6,19480801-20240404, 97.0%,19860603-20240404, 96.5%,20050504-20240404, 95.0%
USC00137058,43.2957,-94.5108,388.6,IA,RINGSTED,,15,-6,19480814-20240401, 90.9%,19860608-20240401, 93.7%,20050505-20240401, 96.9%
USC00137326,43.3817,-92.9232,347.2,IA,ST ANSGAR,,15,-6,19480809-20240405, 93.0%,19860607-20240405, 93.3%,20050506-20240405, 99.0%
USC00137340,41.2875,-93.8078,323.7,IA,ST CHARLES,,15,-6,19480801-20221005, 90.2%,19850902-20221005, 94.5%,20040319-20221005, 96.5%
USC00137572,42.9216,-93.2827,349.0,IA,SHEFFIELD 3 NW,,15,-6,19480801-20240403, 92.5%,19860602-20240403, 92.9%,20050503-20240403, 96.4%
USC00137582,41.5114,-95.4406,399.9,IA,SHELBY,,15,-6,19501001-20240315, 91.0%,19870623-20240315, 89.8%,20051102-20240315, 94.3%
USC00137602,42.7042,-92.5906,284.4,IA,SHELL ROCK 1 SW,,15,-6,19480801-20240302, 93.3%,19860517-20240302, 93.8%,20050409-20240302, 99.2%
USC00137613,40.7717,-95.3738,295.4,IA,SHENANDOAH,,15,-6,20031122-20240304, 68.8%,20140112-20240304, 96.6%,20190207-20240304, 96.4%
USC00137664,43.4023,-95.7499,467.0,IA,SIBLEY,,15,-6,19910101-20240405, 72.3%,20070819-20240405, 64.8%,20151212-20240405, 99.9%
USC00137700,43.0558,-96.1525,414.5,IA,SIOUX CENTER 2 SE,,15,-6,19480801-20240401, 92.5%,19860601-20240401, 96.1%,20050501-20240401, 98.1%
USC00137774,41.9811,-95.7769,342.9,IA,SOLDIER,,15,-6,19480801-20240319, 91.0%,19860526-20240319, 85.3%,20050422-20240319, 92.7%
USC00137844,43.1652,-95.1466,404.2,IA,SPENCER 1 N,,15,-6,19480901-20240326, 49.3%,19860614-20240326, 62.3%,20050505-20240326, 71.2%
USC00138009,42.6853,-91.5330,365.8,IA,STRAWBERRY POINT,,15,-6,19480806-20240402, 94.2%,19860604-20240402, 90.8%,20050503-20240402, 97.3%
USC00138315,42.1865,-92.4722,285.0,IA,TRAER,,15,-6,19480801-20240401, 95.3%,19860601-20240401, 91.7%,20050501-20240401, 92.5%
USC00138646,41.0458,-95.0869,390.8,IA,STANTON 4N,,15,-6,19480801-20240301, 91.7%,19860517-20240301, 95.5%,20050408-20240301, 96.0%
USC00138688,41.2824,-91.7078,209.4,IA,WASHINGTON,,15,-6,19480801-20240401, 94.5%,19860601-20240401, 91.7%,20050501-20240401, 96.7%
USC00138806,42.4685,-93.7974,326.7,IA,WEBSTER CITY,,15,-6,19480801-20240404, 90.6%,19860603-20240404, 85.2%,20050504-20240404, 94.9%
USC00139164,41.7450,-95.7091,332.2,IA,WOODBINE,,15,-6,19480801-20120801, 93.0%,19800801-20120801, 94.6%,19960801-20120801, 92.5%
USC00139165,41.7590,-95.6440,368.8,IA,WOODBINE 4ENE,,15,-6,20120807-20240319, 93.5%,20180529-20240319, 93.9%,20210423-20240319, 93.9%
USC00140326,37.8894,-98.1785,483.1,KS,ARLINGTON,,15,-6,19781025-20240403, 82.0%,20010714-20240403, 83.9%,20121122-20240403, 73.0%
USC00140441,39.6980,-101.0039,903.4,KS,ATWOOD 8SSE,,15,-6,19640422-20190213, 77.2%,19910918-20190213, 72.6%,20050601-20190213, 74.9%
USC00140637,37.6557,-96.5352,484.6,KS,BEAUMONT,,15,-6,19480801-20240418, 91.0%,19860610-20240418, 93.2%,20050514-20240418, 95.5%
USC00140750,37.8923,-97.4827,420.6,KS,BENTLEY 2E,,15,-6,20120401-20240401, 98.7%,20180401-20240401, 98.0%,20210401-20240401, 96.4%
USC00140957,39.0636,-94.8960,259.1,KS,BONNER SPRINGS,,15,-6,19880301-20211201, 80.1%,20050115-20211201, 75.7%,20130624-20211201, 97.1%
USC00141233,37.0326,-97.6155,346.9,KS,CALDWELL,,15,-6,19480801-20211207, 93.4%,19850404-20211207, 94.3%,20030806-20211207, 91.7%
USC00141351,38.0212,-96.6036,463.3,KS,CASSODAY 2SE,,15,-6,19480801-20220602, 93.7%,19850702-20220602, 92.3%,20031217-20220602, 90.7%
USC00141404,38.1937,-95.0724,289.6,KS,CENTERVILLE 4SW,,15,-6,19941201-20240401, 81.4%,20090801-20240401, 78.7%,20161130-20240401, 98.7%
USC00141612,38.9407,-95.3396,298.7,KS,CLINTON LAKE,,15,-6,19770413-20240202, 89.1%,20000907-20240202, 88.4%,20120521-20240202, 88.6%
USC00141699,39.3925,-101.0689,966.2,KS,COLBY 1SW,,15,-6,19500101-20240401, 88.5%,19870215-20240401, 86.9%,20050908-20240401, 94.4%
USC00141730,38.8971,-100.1135,733.7,KS,COLLYER 10 S,,15,-6,19490801-20240407, 94.5%,19861204-20240407, 93.5%,20050805-20240407, 95.9%
USC00141740,37.2500,-94.8667,274.9,KS,COLUMBUS 6 NNW,,15,-6,19480801-20240401, 94.6%,19860601-20240401, 94.5%,20050501-20240401, 96.0%
USC00142432,37.0833,-101.8500,1096.1,KS,ELKHART 6 NNE,,15,-6,19490101-20240405, 64.5%,19860819-20240405, 87.6%,20050612-20240405, 99.2%
USC00142560,37.0459,-99.9964,600.5,KS,ENGLEWOOD 1 NW,,15,-6,19480801-20081021, 94.0%,19780911-20081021, 90.6%,19931001-20081021, 95.0%
USC00142582,37.5668,-95.2458,273.4,KS,ERIE,,15,-6,19970901-20240401, 95.7%,20101216-20240401, 98.6%,20170808-20240401, 99.8%
USC00142686,37.6475,-96.0780,314.2,KS,FALL RIVER LAKE,,15,-6,19481101-20240403, 95.0%,19860718-20240403, 92.0%,20050526-20240403, 93.0%
USC00142835,37.8172,-94.6987,269.4,KS,FORT SCOTT,,15,-6,20200914-20240404, 99.8%,20220625-20240404, 99.7%,20230515-20240404, 99.4%
USC00142938,38.6366,-98.8722,597.4,KS,GALATIA 4E,,15,-6,19821101-20240402, 85.6%,20030718-20240402, 89.4%,20131124-20240402, 84.7%
USC00142980,37.9930,-100.8121,880.9,KS,GARDEN CITY EXP STA,,15,-6,19480801-20240402, 92.1%,19860602-20240402, 90.1%,20050502-20240402, 93.7%
USC00143248,37.3594,-96.4496,353.3,KS,GRENOLA 1 N,,15,-6,19480801-20240415, 92.1%,19860608-20240415, 91.5%,20050512-20240415, 88.9%
USC00143527,38.8586,-99.3358,612.6,KS,HAYS 1 S,,15,-6,19480801-20240405, 92.7%,19860603-20240405, 91.9%,20050504-20240405, 92.3%
USC00143554,38.6002,-100.6196,868.7,KS,HEALY,,15,-6,19480801-20240401, 87.2%,19860601-20240401, 84.5%,20050501-20240401, 99.9%
USC00143634,39.7833,-95.5167,353.6,KS,HIAWATHA 5 SSE,,15,-6,20200617-20231018, 95.6%,20220216-20231018, 94.9%,20221217-20231018, 99.7%
USC00143665,39.3618,-99.8279,649.8,KS,HILL CITY 1E,,15,-6,19831001-20240411, 86.6%,20040105-20240411, 93.6%,20140222-20240411, 97.2%
USC00143686,38.6645,-94.8901,307.8,KS,HILLSDALE LAKE,,15,-6,19851126-20240402, 85.5%,20050128-20240402, 91.0%,20140831-20240402, 96.3%
USC00143954,37.2363,-95.7002,245.4,KS,INDEPENDENCE,,15,-6,19970602-20240401, 96.2%,20101101-20240401, 96.8%,20170717-20240401, 99.7%
USC00143984,37.9233,-95.4241,290.8,KS,IOLA 1 W,,15,-6,19510101-20240415, 78.9%,19870824-20240415, 91.7%,20051219-20240415, 96.8%
USC00143997,39.6611,-98.3483,468.5,KS,IONIA,,15,-6,19480801-20240401, 95.1%,19860601-20240401, 97.7%,20050501-20240401, 99.0%
USC00144178,38.6078,-97.9596,454.8,KS,KANOPOLIS LAKE,,15,-6,19480801-20240401, 93.8%,19860601-20240401, 92.1%,20050501-20240401, 96.4%
USC00144341,37.0174,-98.4899,403.9,KS,KIOWA,,15,-6,19480801-20240406, 94.1%,19860604-20240406, 93.7%,20050505-20240406, 99.8%
USC00144370,39.0479,-95.1929,332.2,KS,KU-FIELD STATION,,15,-6,20191025-20240301, 97.5%,20211227-20240301, 95.0%,20230128-20240301, 90.0%
USC00145039,38.3781,-97.0752,418.5,KS,MARION RESERVOIR,,15,-6,19660511-20230103, 91.2%,19940906-20230103, 95.9%,20081104-20230103, 97.8%
USC00145210,38.5039,-95.7037,333.5,KS,MELVERN LAKE,,15,-6,19730401-20240301, 89.4%,19980915-20240301, 89.3%,20110608-20240301, 96.7%
USC00145306,39.0745,-96.8982,369.7,KS,MILFORD LAKE,,15,-6,19670711-20240301, 86.0%,19951105-20240301, 81.3%,20100102-20240301, 95.7%
USC00145536,37.1880,-95.4503,242.0,KS,MOUND VALLEY 3 WSW,,15,-6,19571004-20240401, 95.8%,19910102-20240401, 96.0%,20070817-20240401, 97.5%
USC00145787,39.8135,-100.2417,792.8,KS,NORCATUR 3 WSW,,15,-6,19480801-20240402, 92.4%,19860602-20240402, 88.4%,20050502-20240402, 91.2%
USC00145852,39.8114,-99.9386,715.1,KS,NORTON DAM,,15,-6,19630403-20240404, 81.8%,19931003-20240404, 78.7%,20090102-20240404, 85.3%
USC00145888,39.1130,-100.9447,945.5,KS,OAKLEY 4W,,15,-6,19490801-20240401, 90.6%,19861201-20240401, 88.2%,20050801-20240401, 94.3%
USC00146333,39.1174,-95.4101,291.7,KS,PERRY LAKE,,15,-6,19700209-20240131, 83.4%,19970204-20240131, 70.9%,20100803-20240131, 62.6%
USC00146374,39.7667,-99.3167,595.0,KS,PHILLIPSBURG,,15,-6,19480801-20240422, 92.2%,19860612-20240422, 88.6%,20050517-20240422, 96.6%
USC00146498,38.6449,-95.5660,324.0,KS,POMONA LAKE,,15,-6,19630708-20240301, 88.2%,19931103-20240301, 80.0%,20090101-20240301, 90.3%
USC00147546,38.7056,-97.8461,438.9,KS,SMOKY HILL AIR NATIONAL GUARD RANGE,,15,-6,20110901-20171205, 94.5%,20141018-20171205, 99.9%,20160512-20171205, 99.8%
USC00147756,38.7814,-94.6689,326.4,KS,STILWELL 1N,,15,-6,19821001-20230914, 88.7%,20030324-20230914, 83.5%,20130618-20230914, 98.2%
USC00147922,37.4415,-100.9793,898.9,KS,SUBLETTE 7WSW,,15,-6,19580224-20240419, 87.9%,19910323-20240419, 93.3%,20071005-20240419, 99.3%
USC00148235,38.4661,-101.7730,1107.6,KS,TRIBUNE 1W,,15,-7,19480801-20240401, 89.5%,19860601-20240401, 85.1%,20050501-20240401, 86.8%
USC00148250,39.8281,-95.0875,315.5,KS,TROY 3N,,15,-6,19880322-20240405, 89.4%,20060329-20240405, 91.4%,20150402-20240405, 99.6%
USC00148293,37.8488,-94.9765,274.3,KS,UNIONTOWN,,15,-6,19821013-20160803, 87.7%,19990908-20160803, 87.9%,20080220-20160803, 86.5%
USC00148535,38.9167,-101.5833,1010.1,KS,WALLACE,,15,-7,19480901-20240403, 90.2%,19860618-20240403, 86.6%,20050511-20240403, 86.5%
USC00148847,37.6552,-97.4430,406.6,KS,WICHITA WX,,15,-6,20100501-20240403, 95.8%,20170417-20240403, 94.4%,20201009-20240403, 90.8%
USC00148946,38.9667,-98.4890,460.9,KS,WILSON LAKE,,15,-6,19640923-20240401, 90.7%,19940628-20240401, 91.5%,20090515-20240401, 92.5%
USC00150381,36.8825,-83.8819,301.8,KY,BARBOURVILLE,,15,-5,19480801-20160916, 78.5%,19820824-20160916, 62.9%,19990905-20160916, 63.4%
USC00150450,36.8582,-83.3302,354.8,KY,BAXTER,,15,-5,19480801-20160101, 72.6%,19820417-20160101, 57.3%,19990223-20160101, 58.5%
USC00150611,36.8580,-88.3363,111.3,KY,BENTON,,15,-6,19480801-20240304, 84.2%,19860518-20240304, 85.1%,20050410-20240304, 91.6%
USC00151227,37.5531,-87.1924,121.3,KY,CALHOUN 4ENE,,15,-6,19561001-20230601, 80.5%,19900130-20230601, 79.9%,20060930-20230601, 88.5%
USC00151631,36.6833,-89.0000,121.9,KY,CLINTON,,15,-6,19480801-20220817, 88.4%,19850809-20220817, 88.2%,20040212-20220817, 84.5%
USC00152775,38.6873,-84.3585,249.6,KY,FALMOUTH,,15,-5,19750201-20240401, 48.8%,19990901-20240401, 30.8%,20111216-20240401, 61.7%
USC00152776,38.6018,-84.3006,239.6,KY,FALMOUTH5 SSE,,15,-5,20150506-20160722, 77.9%,20151213-20160722, 56.5%,20160402-20160722, 83.9%
USC00152979,37.6364,-86.7243,137.2,KY,FORDSVILLE,,15,-6,19710501-20240408, 88.5%,19971019-20240408, 86.6%,20110113-20240408, 94.2%
USC00153194,38.2094,-84.5621,245.4,KY,GEORGETOWN WATER WKS,,15,-5,20130612-20240409, 92.3%,20181110-20240409, 84.6%,20210725-20240409, 96.1%
USC00153744,37.5787,-83.7659,350.5,KY,HEIDELBERG 2N,,15,-5,20071104-20110802, 93.0%,20090917-20110802, 99.2%,20100825-20110802, 98.7%
USC00153798,36.6702,-87.5588,170.7,KY,HERNDON 5S,,15,-6,19480801-20240301, 84.5%,19860517-20240301, 72.2%,20050408-20240301, 86.4%
USC00153929,37.5316,-85.7350,240.2,KY,HODGENVILLE LINCOLN P,,15,-5,19480801-20200901, 81.5%,19840816-20200901, 70.2%,20020824-20200901, 59.9%
USC00154948,38.1250,-82.6934,233.8,KY,LOUISA 5W,,15,-5,19961204-20240403, 86.9%,20100804-20240403, 94.1%,20170603-20240403, 96.3%
USC00154955,38.2778,-85.7917,134.1,KY,LOUISVILLE MCALPINE,,15,-5,19820701-20221220, 80.1%,20020925-20221220, 76.2%,20121106-20221220, 91.3%
USC00155067,37.3475,-87.5238,129.5,KY,MADISONVILLE,,15,-6,19490301-20240201, 86.9%,19860816-20240201, 79.6%,20050509-20240201, 80.1%
USC00155243,38.6869,-83.7872,157.0,KY,MAYSVILLE WASTEWATER TREATMENT PLANT,,15,-5,19480801-20240401, 69.8%,19860601-20240401, 60.3%,20050501-20240401, 64.2%
USC00156012,38.3423,-83.1038,270.7,KY,OLIVE HILL 5NE,,15,-5,19480801-20240103, 64.8%,19860418-20240103, 60.7%,20050224-20240103, 45.0%
USC00156170,38.2052,-84.2382,242.3,KY,PARIS,,15,-5,19711101-20240401, 85.5%,19980115-20240401, 90.0%,20110222-20240401, 93.6%
USC00157215,36.7462,-86.2259,226.5,KY,SCOTTSVILLE,,15,-6,19841001-20240415, 56.5%,20040708-20240415, 29.6%,20140527-20240415, 59.2%
